name,rating,address,introduction,review_count,url,city,tags
朝阳公园,4.7,北京市朝阳区朝阳公园南路1号,,1144,https://you.ctrip.com/sight/beijing1/107621.html?scene=online,北京,[]
广州 · 伍佰 & China Blue 2025《Rock Star 2 》世界巡回演唱会,4.7,开创大道2666号,,1,https://you.ctrip.com/sight/guangzhou152/153111569.html?scene=online,广州,[]
豫园,4.7,上海市黄浦区福佑路168号,,51271,https://you.ctrip.com/sight/shanghai2/740.html?scene=online,上海,[]
深圳大学城,4.7,深圳市南山区丽水路2239号,,130,https://you.ctrip.com/sight/26/1508755.html,,[]
长隆野生动物世界,4.8,广东省广州市番禺区汉溪大道东299号,,91600,https://you.ctrip.com/sight/guangzhou152/6802.html?scene=online,广州,[]
广州雕塑公园,4.5,广东省广州市白云区下塘西路545号,,263,https://you.ctrip.com/sight/152/51268.html,,[]
摩星岭,4.6,广州市白云区广园中路801号白云山风景名胜区内,,153,https://you.ctrip.com/sight/152/1481154.html,,[]
深圳 · 陈慧琳Season 2万人结界演唱会,4.5,深圳市滨海大道3001号（南山区科苑南路与海德三道交汇处）,,4,https://you.ctrip.com/sight/shenzhen26/153241625.html?scene=online,深圳,[]
深圳湾公园,4.6,深圳市福田区滨海大道,,520,https://you.ctrip.com/sight/shenzhen26/1508177.html?scene=online,深圳,[]
卢浦大桥,4.7,2024-11-05IP属地：上海举报点赞,,316,https://you.ctrip.com/sight/2/57031.html,,[]
深圳平安金融中心云际观光层,4.9,深圳市福田区益田路5033号平安金融中心116层,,20357,https://you.ctrip.com/sight/shenzhen26/4336342.html?scene=online,深圳,[]
番禺广场,4.6,广东省广州市番禺区清河东路338号,,229,https://you.ctrip.com/sight/152/1484663.html,,[]
广州长隆国际大马戏,4.7,汉溪大道东299号,,21582,https://you.ctrip.com/sight/guangzhou152/137991.html?scene=online,广州,[]
深圳 · 刘若英 2025《飞行日》巡回演唱会,4.5,深圳市龙岗区龙翔大道深圳大运中心,,4,https://you.ctrip.com/sight/shenzhen26/152935228.html?scene=online,深圳,[]
广州 · 大张伟大好时光2025“续一个NICE”演唱会广州站,4.7,广东省广州市黄埔区大塱村开创大道2666号,,1,https://you.ctrip.com/sight/guangzhou152/153198235.html?scene=online,广州,[]
深圳 · 福田会展中心脱口秀【魔脱喜剧】| 每周一至周日｜爆笑解压欢乐精品脱口秀大会,4.0,广东省深圳市福田区福华一路1号深圳大中华国际交易广场北座G层GF-091,,1,https://you.ctrip.com/sight/shenzhen26/149589060.html?scene=online,深圳,[]
广州 · GO WITH THE FLOW林峯演唱会-广州站,4.8,广东省广州市黄埔区大塱村开创大道2666号,,5,https://you.ctrip.com/sight/guangzhou152/152938776.html?scene=online,广州,[]
古北水镇,4.7,北京市密云区古北口镇司马台村,,14861,https://you.ctrip.com/sight/beijing1/1411592.html?scene=online,北京,[]
广州博物馆,4.7,广州市越秀区镇海路99号越秀公园内,,946,https://you.ctrip.com/sight/guangzhou152/6823.html?scene=online,广州,[]
深圳 · 陈粒 2025《一粒》十周年巡回演唱会,4.5,深圳市滨海大道3001号（南山区科苑南路与海德三道交汇处）,,4,https://you.ctrip.com/sight/shenzhen26/153143385.html?scene=online,深圳,[]
广州长隆度假区,4.7,广东省广州市番禺区汉溪大道东299号,,12772,https://you.ctrip.com/sight/guangzhou152/135794.html?scene=online,广州,[]
珠江公园,4.6,广州市天河区金穗路900号,,369,https://you.ctrip.com/sight/152/122076.html,,[]
龙华公园,4.3,深圳市龙华区公园路与景龙中环路交叉路口往西北约50米(龙华荔园新村西北侧约100米),,311,https://you.ctrip.com/sight/26/122328.html,,[]
北京市规划展览馆,4.8,北京市东城区东大街20号,,166,https://you.ctrip.com/sight/1/62724.html,北京,[]
SOLANA蓝色港湾,4.8,北京市朝阳区朝阳公园路6号,,432,https://you.ctrip.com/sight/1/5055372.html,北京,[]
正佳极地海洋世界,4.5,广州市天河区天河路228号正佳广场2楼,,6708,https://you.ctrip.com/sight/guangzhou152/1815375.html?scene=online,广州,[]
长陵,4.6,北京市昌平区十三陵特区怀长路与昌赤路交叉口北,,437,https://you.ctrip.com/sight/1/137981.html,北京,[]
北京动物园,4.5,北京市西城区西直门外大街137号,,9714,https://you.ctrip.com/sight/beijing1/5173.html?scene=online,北京,[]
华山路,4.7,上海华山路831号的孙家花园，是一座典型而精致的西班牙式花园住宅，传颂着中国近现代民族资本主义发展的一个家族故事。,,247,https://you.ctrip.com/sight/2/132541.html,,[]
广东省博物馆,4.6,广州市天河区珠江东路2号,,1877,https://you.ctrip.com/sight/guangzhou152/6782.html?scene=online,广州,[]
白云山,4.7,广东省广州市白云区同和街道广园中路801号,,5568,https://you.ctrip.com/sight/guangzhou152/6766.html?scene=online,广州,[]
颐和园,4.7,北京市海淀区新建宫门路19号,,48956,https://you.ctrip.com/sight/beijing1/231.html?scene=online,北京,[]
石围塘站(货运站),4.4,广东省广州市荔湾区石围塘公寓二巷18号,,78,https://you.ctrip.com/sight/152/1481548.html,,[]
雍和宫,4.7,北京市东城区雍和宫大街28号,,3173,https://you.ctrip.com/sight/beijing1/5153.html?scene=online,北京,[]
中山纪念碑,4.8,广州市越秀区解放北路988号越秀公园内,,131,https://you.ctrip.com/sight/152/110545.html,,[]
小梅沙海滨乐园,4.7,广东省深圳市盐田区盐葵路小梅沙段39号,,1867,https://you.ctrip.com/sight/shenzhen26/2780.html?scene=online,深圳,[]
金茂大厦88层观光厅,4.7,上海市浦东新区世纪大道88号金茂大厦88层,,3637,https://you.ctrip.com/sight/shanghai2/1816019.html?scene=online,上海,[]
广州中山纪念堂,4.8,广东省广州市越秀区东风中路299号,,2327,https://you.ctrip.com/sight/guangzhou152/6824.html?scene=online,广州,[]
上海之巅观光厅,4.6,上海市浦东新区银城中路501号上海中心大厦118层,,14012,https://you.ctrip.com/sight/shanghai2/2005734.html?scene=online,上海,[]
上海动物园,4.7,上海市长宁区虹桥路2381号,,22049,https://you.ctrip.com/sight/shanghai2/25506.html?scene=online,上海,[]
北海公园,4.7,北京市西城区文津街1号,,5085,https://you.ctrip.com/sight/beijing1/232.html?scene=online,北京,[]
浦东美术馆,4.7,上海市浦东新区滨江大道2777号,,2084,https://you.ctrip.com/sight/shanghai2/124908212.html?scene=online,上海,[]
陈家祠,4.6,广州市荔湾区中山七路恩龙里34号,,3394,https://you.ctrip.com/sight/guangzhou152/6772.html?scene=online,广州,[]
海珠广场,4.4,广东省广州市越秀区人民街道果菜西社区一德路237号,,269,https://you.ctrip.com/sight/152/1481417.html,,[]
地王观光·深港之窗,4.3,广东省深圳市罗湖区深南东路5002号信兴广场F1,,1833,https://you.ctrip.com/sight/shenzhen26/11546.html?scene=online,深圳,[]
深圳 · 2026张韶涵「觅光」世界巡回演唱会,4.5,深圳市龙岗区龙翔大道深圳大运中心,,4,https://you.ctrip.com/sight/shenzhen26/153198201.html?scene=online,深圳,[]
荔湾博物馆,4.5,广州市荔湾区逢源北街84号,,125,https://you.ctrip.com/sight/152/1407597.html,,[]
深圳 · 潘玮柏“狂爱2.0”巡回演唱会-深圳站,4.5,广东省深圳市龙岗区黄阁路,,4,https://you.ctrip.com/sight/shenzhen26/153198217.html?scene=online,深圳,[]
万春亭,4.9,北京市景山西街44号景山公园内,,71,https://you.ctrip.com/sight/1/1816240.html,北京,[]
崇明学宫,4.7,上海市崇明区鳌山路696号,,123,https://you.ctrip.com/sight/2/5686.html,,[]
思月书院,4.5,广东省深圳市罗湖区人民路二横街79号,,120,https://you.ctrip.com/sight/26/50560.html,,[]
簋街,4.6,北京市东城区境内，东起东直门立交桥，西至交道口东大街，全长1472米。簋街周围有许多大使馆，这也使得国外的游客和国外在京工作人员能够方便的品尝到正宗的华夏美食。,,565,https://you.ctrip.com/sight/1/139643.html,北京,[]
和平公园,4.6,上海市虹口区天宝路891号,,717,https://you.ctrip.com/sight/2/51683.html,,[]
南京路步行街,4.7,上海市黄浦区南京东路,,44505,https://you.ctrip.com/sight/shanghai2/3739.html?scene=online,上海,[]
欢乐港湾,4.5,广东省深圳市宝安区海府路与新安西路交叉口西南200米,,689,https://you.ctrip.com/sight/shenzhen26/5711027.html?scene=online,深圳,[]
珠江夜游天字码头,4.5,广东省广州市越秀区沿江中路200号,,4025,https://you.ctrip.com/sight/152/121689.html,,[]
鹤湖新居,4.1,广东省深圳市龙岗区龙岗街道南联社区新瑞路21号,,111,https://you.ctrip.com/sight/26/50557.html,,[]
招商蛇口邮轮母港游览,4.6,广东省深圳市南山区海运路1号蛇口邮轮中心,,420,https://you.ctrip.com/sight/shenzhen26/103857634.html?scene=online,深圳,[]
北京citywalk,4.8,未知,,319,https://you.ctrip.com/sight/beijing1/0.html?poiId=151074796,北京,[]
大佛古寺,4.7,广州市越秀区惠新中街21号,,558,https://you.ctrip.com/sight/guangzhou152/1481692.html?scene=online,广州,[]
深圳欢乐谷,4.8,广东省深圳市南山区沙河街道星河街社区侨城西街18号,,33016,https://you.ctrip.com/sight/shenzhen26/13720.html?scene=online,深圳,[]
四海公园,4.6,深圳市南山区公园路3号,,257,https://you.ctrip.com/sight/26/136187.html,,[]
古崖居风景区,4.6,北京市延庆区古龙路与古崖居路交叉口西北345米,,564,https://you.ctrip.com/sight/1/62758.html,北京,[]
大亚湾核电站,4.9,深圳市龙岗区大鹏镇大坑村麻角山大亚湾畔,,187,https://you.ctrip.com/sight/26/50527.html,,[]
东湖公园,4.6,广东省深圳市罗湖区黄贝街道爱国路4006号,,280,https://you.ctrip.com/sight/26/50550.html,,[]
观音山公园,4.5,广东省深圳市龙岗区大鹏街道王母社区金沙大道与坪西路交汇处,,27,https://you.ctrip.com/sight/26/1481551.html,,[]
广州起义烈士陵园,4.8,广东省广州市越秀区大塘街道中山三路92号,,9,https://you.ctrip.com/sight/152/6786.html,,[]
长隆水上乐园,4.6,广东省广州市番禺区汉溪路169号广州长隆水上乐园；库位：以景区实际情况为准；,,18362,https://you.ctrip.com/sight/guangzhou152/48597.html?scene=online,广州,[]
桔钓沙,4.4,深圳市龙岗区新东路28号,,93,https://you.ctrip.com/sight/26/50526.html,,[]
明十三陵,4.6,北京市昌平区十三陵镇昌赤路,,6357,https://you.ctrip.com/sight/beijing1/234.html?scene=online,北京,[]
广州露营,5.0,亚热带，气候温和，全年大部分时间都适宜露营。周边拥有众多水库、森林公园和湿地公园，露营地多依傍山林、湖泊。这些地方风景如画，植被类型多样，既有郁郁葱葱的森林，也,,16,https://you.ctrip.com/sight/guangzhou152/0.html?poiId=149998050,广州,[]
北京野生动物园,4.7,北京市大兴区榆垡镇万亩森林,,31356,https://you.ctrip.com/sight/beijing1/107469.html?scene=online,北京,[]
洪湖公园,4.6,广东省深圳市罗湖区笋岗街道洪湖社区文锦北路2023号,,350,https://you.ctrip.com/sight/26/50554.html,,[]
广州塔,4.5,广东省广州市海珠区阅江西路222号,,43442,https://you.ctrip.com/sight/guangzhou152/107540.html?scene=online,广州,[]
定陵,4.5,北京市昌平区十三陵镇昌赤路十三陵内,,1124,https://you.ctrip.com/sight/1/137984.html,北京,[]
广东科学中心,4.6,广州市番禺区科普路168号,,10907,https://you.ctrip.com/sight/guangzhou152/64724.html?scene=online,广州,[]
方家胡同,4.8,北京市东城区,,88,https://you.ctrip.com/sight/1/107669.html,北京,[]
历代帝王庙,4.8,北京市西城区阜成门内大街131号,,182,https://you.ctrip.com/sight/1/66172.html,北京,[]
北京赏红叶,4.8,未知,,319,https://you.ctrip.com/sight/beijing1/0.html?poiId=148849016,北京,[]
中国地质博物馆,4.8,北京市西城区羊肉胡同15号,,5853,https://you.ctrip.com/sight/beijing1/62726.html?scene=online,北京,[]
